Date,Device,CNT,Owner
2021-06-03,amazon fire tv,457,Amazon
2021-06-04,amazon fire tablet,176,Amazon
2021-06-04,amazon fire tv,531,Amazon
2021-06-05,amazon fire tablet,304,Amazon
2021-06-05,amazon fire tv,798,Amazon
2021-06-06,amazon fire tablet,301,Amazon
2021-06-06,amazon fire tv,708,Amazon
2021-06-07,amazon fire tablet,217,Amazon
2021-06-07,amazon fire tv,482,Amazon
2021-06-08,amazon fire tablet,214,Amazon
2021-06-08,amazon fire tv,449,Amazon
2021-06-09,amazon fire tablet,193,Amazon
2021-06-09,amazon fire tv,385,Amazon
2021-06-10,amazon fire tablet,252,Amazon
2021-06-10,amazon fire tv,373,Amazon
2021-06-11,amazon fire tablet,217,Amazon
2021-06-11,amazon fire tv,375,Amazon
2021-06-12,amazon fire tablet,224,Amazon
2021-06-12,amazon fire tv,432,Amazon
2021-06-13,amazon fire tablet,238,Amazon
2021-06-13,amazon fire tv,594,Amazon
2021-06-14,amazon fire tablet,221,Amazon
2021-06-14,amazon fire tv,490,Amazon
2021-06-15,amazon fire tablet,243,Amazon
2021-06-15,amazon fire tv,509,Amazon
2021-06-16,amazon fire tablet,223,Amazon
2021-06-16,amazon fire tv,494,Amazon
2021-06-17,amazon fire tablet,530,Amazon
2021-06-17,amazon fire tv,1360,Amazon
2021-06-18,amazon fire tablet,625,Amazon
2021-06-18,amazon fire tv,1508,Amazon
2021-06-19,amazon fire tablet,460,Amazon
2021-06-19,amazon fire tv,1057,Amazon
2021-06-20,amazon fire tablet,435,Amazon
2021-06-20,amazon fire tv,1484,Amazon
2021-06-21,amazon fire tablet,247,Amazon
2021-06-21,amazon fire tv,623,Amazon
2021-06-22,amazon fire tablet,213,Amazon
2021-06-22,amazon fire tv,590,Amazon
2021-06-23,amazon fire tablet,213,Amazon
2021-06-23,amazon fire tv,525,Amazon
