Date,Device,CNT
9/8/2020,apple tv,2451
9/8/2020,chromecast receiver app,1
9/8/2020,cox,2466
9/8/2020,ios mobile,20777
9/8/2020,lg smart tv,1626
9/8/2020,ps4,4091
9/8/2020,roku,78
9/8/2020,samsung tv,125
9/8/2020,unknown,1463
9/8/2020,vizio,2748
9/8/2020,web,10465
9/8/2020,xbox one,1294
9/8/2020,xfinity,21785
9/9/2020,amazon fire tv,1651
9/9/2020,android mobile,11740
9/9/2020,android tv,1128
9/9/2020,apple tv,2388
9/9/2020,cox,2554
9/9/2020,ios mobile,20494
9/9/2020,lg smart tv,1709
9/9/2020,ps4,2873
9/9/2020,roku,70
9/9/2020,samsung tv,116
9/9/2020,unknown,1608
9/9/2020,vizio,2594
9/9/2020,web,10630
9/9/2020,xbox one,1353
9/9/2020,xfinity,21577
9/10/2020,amazon fire tablet,1
9/10/2020,amazon fire tv,1867
9/10/2020,android mobile,13917
9/10/2020,android tv,1540
9/10/2020,apple tv,2701
9/10/2020,chromecast receiver app,1
9/10/2020,cox,2166
9/10/2020,ios mobile,24345
9/10/2020,lg smart tv,2396
9/10/2020,ps4,3094
9/10/2020,roku,88
9/10/2020,samsung tv,117
9/10/2020,unknown,1725
9/10/2020,vizio,3038
9/10/2020,web,12289
9/10/2020,xbox one,1722
9/10/2020,xfinity,23664
9/11/2020,amazon fire tv,1689
9/11/2020,android mobile,11795
9/11/2020,android tv,1280
9/11/2020,apple tv,2865
9/11/2020,cox,2586
9/11/2020,ios mobile,21786
